a 阿啊腌嗄锕吖呵錒𠼞𥥩𨉚𱚱
chu 出处础初除储畜触楚厨雏矗橱锄褚滁躇怵绌搐刍蜍黜杵蹰亍樗憷楮䝙䢺俶摴斶柷濋琡齼𬺓㔘㕏㕑㗙㙇㛀㡡㤕㶆㾥㾻䅳䅷䇍䊰䎌䎝䐍䐢䖏䙘䜴䟞䟣䠂䠧䦌䶥傗儊儲処助嘔嘼埱媰岀幮廚慉拀摢敊柠椘榋橻檚櫉櫖櫥欪歜涂淑滀炪犓珿璴硫礎祝竌竐篨絀絮耝耡臅芻菆著蒢蒭蓫蕏藸處蟵蠩觕觸詘諔諸豖豠貙趎跦踀踰躕鄐鉏鋤閦雛鶵鸀齣齭𠁉𠇘𠧖𠰕𠿝𡐌𡝈𡳑𢅥𢊍𢒔𢕓𢣵𢣿𢨫𣢶𣥹𣦠𣦡𤏱𤙟𤝞𤻇𥁯𥒭𥹵𦷝𦺵𦿀𧃏𧎷𧢶𧯩𧰫𧲰𧺶𧽧𨁿𨃕𨅒𨕢𨞕𨴰𨼪𩂫𩈤𩙙𩨸𩹱𩿿𪀩𪁲𪆷𪇆𪓐𬬺𬸅𰵴𱳋𲈼
chua 欻㔍䊬䔴䫄䵵撮歘𠹐𠻦𣛕𣹶𤁫
chuai 揣踹啜嘬搋㪓㪜䦟䦤䦷䴝啐欼腄膗膪𠽶𢲽𢶀𣛹𣤌𣲂𧍒𨣅
chuan 传川船穿串喘椽舛钏遄氚圌㯌㱛㼷䁣丳傳僢剶團巛惴掾暷椯歂汌猭玔瑏甎篅膞舡舩荈賗踳踹輲釧鶨𠛖𠯀𠾮𣀔𣛹𣧒𤜼𤮍𤰌𤶱𥃹𥬫𥲏𦎇𦎜𦺛𧍒𧑝𨂦𨔡𨘼𨩴𩂍
chuang 创床窗闯幢疮怆噇㡖㼽䃥䄝䆫䇬䎫䚒䭚倉傸凔刅刱剏剙創囱愴戧摐摤朣橦漴漺牀牎牕瘡磢窓窻舂葱闖𠏨𠞮𠳹𡆪𡻯𣃘𥈄𥎒𥡟𥲡𦔛𧜧𧝎𧢆𧬧𨜾𨧖𩃕𩞆𩪘𪁱𰃷
chui 吹垂锤炊椎陲槌捶棰倕㝽㷃䅜䍋䕓䜅䞼圌埀惙搥箠腄菙郵錘鎚顀鬌魋龡𠄒𡍮𢏒𣇦𣟈𤙵𥙋𥞃𦉈𩌝𩗰𩭦
chun 春纯醇淳唇椿蠢鹑莼蝽䲠堾瑃錞𬭚㖺㝄㝇㵮㸪㿤䏛䐇䐏䓐䔚䞐䞺䡅䣨䣩䥎䦮䫃䮞偆僢媋惷旾暙朐杶楯槆橁櫄沌浱湻滣漘犉睶箺純肫脣膞芚萅萶蒓蓴賰踳輇輴醕陙鯙鰆鶉鶞𠵧𠸸𡉐𡗥𢾎𣌚𣌠𣘣𣚆𣮢𤘛𤪪𦎧𦚧𧇶𨉩𨋮𩨁𪂹𮝸
chuo 辍绰戳啜龊踔婼惙逴㚟㪕㪬㲋䄌䋘䍳䓎促吷嚽娕娖婥孎拺擉斫歠涰淖焯磭箹簇綴綽繛腏荃蔟趠趵跿踱躇輟辵辶酫醛鋜錣鏃鑡齪齱𠽶𡁇𢽸𢿭𣀔𣤌𣬋𤿫𥁯𥓑𦁶𧣺𨆬𨒢𨮸𨰆𩟫𩩟𪘛
ci 次此词辞刺瓷磁慈茨赐祠伺雌疵鹚糍呲茈佽堲泚玼莿跐鮆𫚖㐸㓨㘂㘹㞖㠿㢀㤵㩞㾊䂣䈘䓧䖪䗹䛐䧳䨏䭣䯸䰍䲿䳄䳐佌偨兹刾司呰啙垐姕嬨嵯差庛廁措朿枱柌柴栜栨滋澬濨珁甆皉礠粢絘縒胔茦茲薋薺蚝蛓螅螆蠀詞賜趀趑辝辤辭鈶飺餈骴髊鴜鶿鷀齹𠤫𠦐𠩆𠯂𡃸𡥎𡰾𢅜𢓗𢫴𢶴𣐑𣙼𣜁𣢕𤴼𥰭𥴺𥿆𥿴𦍧𦐨𦐾𦑺𦒁𦖝𦼡𧊒𧌐𧑖𧙈𧠎𧠥𧧒𧺼𨋰𨐕𨒤𨒮𨠐𨲁𨾅𩆂𩉋𩝐𩢑𩨨𩾔𪉈𪉪𪑟𪘲𰱱𲊽
cong 从丛匆聪葱囱琮淙枞骢苁璁悰熜㗰㜡㞱㥖㼻䈡䉘䐋䐫䓗䕺䗓䡯䢨䰌䳷偬叢囪婃孮従徖從忩怱悤慒憁暰棇楤樅樬樷欉漎漗潀潨灇焧爜瑽瞛碂窗篵総緫縱總繱聡聦聰茐菆蓯蔥藂蟌誴謥賨賩鍯鏓鏦騘驄𠂥𠕁𠙂𠢛𠤰𡅇𡟟𡦷𡵷𡹸𢃏𢊕𢐔𢔩𣃗𣊷𤄓𤧚𥍷𥎋𥡬𥣙𥮨𥵫𦇎𦇱𦗜𦝰𧐱𧓏𧝮𧩪𨂴𨍉𨑪𨑹𨒀𨡮𨦱𨱸𨲧𨽁𩬼𩯍𪻐𫓩𰷥
cou 凑辏腠㔌奏揍族楱湊簇蔟藪趣趨輳𢈾𣉅𣙘𣞜𤆑𦦅𦳿𦺀𧡣𧱪𨓭𨨯𩹀𪉮
cu 促粗簇醋蹴猝蹙酢蔟殂徂㗤䃚䓚䙯䛤䟟䠓䠞䢐䣯䥄䥘且卒噈娕娖媨怚憱戚捽槭瘄瘯皻縐縬脨蔍蔖觕誎趗趣趥趨踀踓踤踧蹵錯顣麁麄麆麤鼀𠑯𠛙𠱙𠴫𡄱𡘛𡝉𡞜𢄧𢈠𢪃𤗁𤛏𤠽𤿚𥅗𥪱𥷼𥻒𥾛𦈚𦟠𦠁𦯣𧆓𧺲𧼜𪓡𪓰𪕝𪚯
cuan 窜篡蹿撺爨汆镩㠝㭫㸑䂎僔巑攒攛攢櫕欑殩灒熶穳窾竄簒菆襸蹲躥鋑鑹𢖑𢸥𤐲𥍬𥎢𥎣𥎤𥤳𥨒𨣵𨼉
cui 催崔脆翠萃粹摧璀瘁悴淬啐毳榱漼缞㓹㜠㝮㯔㯜㱖㳃㵏㷪䃀䄟䆊䊫䔴䘹䙑䧽乼伜体倅凗卒啛墔察崒嶉忰慛椊槯洒濢焠熣獕琗疩皠磪竁粋紣綷縗繀翆脃脺膬膵臎衰襊趡踤鏙隹顇𠗚𠞿𠟓𠩪𠽶𢂕𢄸𢕘𢡈𢶓𣃍𣯧𣰚𣿒𣿓𤎋𤗯𤛍𥨒𥳈𥻮𥼂𥼛𥼺𦙈𦦣𧎃𧑎𧚥𧜱𧳚𧹺𧼬𧽠𨄍𨅎𨊉𨻵𨿐𩤏𩮴𮉬𱂯
cun 村存寸忖皴邨䍎䞭侟刌吋墫拵洊浚澊竴籿膥踆蹲𤿄𧚉𧽾𨀛𨙯𨙲𨚲
cuo 措错磋挫搓撮蹉锉厝嵯痤矬脞鹾棤瑳莝酂㟇㭫㽨㿷䂳䐤䑘䟶䠡䣜䰈䱜䴾剉剒夎嵳差摧斮昔最澨營玼瘥睉縒莡蒫蓌蔖虘襊諎躦逪遳酇醝銼錯髊鹺齹𠦏𢒐𢚂𢤎𢫬𢯽𣖵𣨎𣩈𤠝𥕉𥭭𥰭𧚏𧪘𨇃𨛏𩄝𩯉𪒙𪘓
da 大达打答搭沓瘩嗒哒耷鞑靼褡笪怛妲垯溚炟荙跶阘𨱏𫟼㗳㙮㜓㟷㩉㯓㾑㿯㿴䃮䌋䐛䩢䪏䪚䳴䵣亣僤剳匒呾咑噠塌塔墶憚搨撘毼汏燵畗畣疸眔矺笚繨羍胆荅薘蟽觰詚躂迏迖迚迭逹達鎉鎝鐽韃龖龘鿎𠉤𠞈𠶫𠹥𡈐𡉑𡌩𡍲𡐿𡚻𢘇𢛁𢝉𢽇𣌭𣣴𣥾𣸉𤝰𤤊𤨑𥉌𥕇𦂀𦈘𦑻𦖿𦗧𦞂𦪭𦬹𨅓𨆰𨗾𨨹𩏒𩝣𩟐𩠅𩣯𩭣𩺗𫄤
dai 代带待贷戴袋歹呆逮岱傣怠殆黛埭绐玳呔迨骀叇垈轪㐲㞭㯂㶡㻖㿃䈆䒫䚞䚟䠠䲦侢嘚大媞帒帯帶廗懛曃柋棣毒瀻獃瑇甙箉簤紿緿艜蔕蚮蝳螮襶詒貸跢蹛軑軚軩載逯遞遰隶霴靆馱駘鮘鴏黱𠯈𠯪𠰺𠷂𡧹𢄔𢎌𣇨𣐮𣦶𣫹𤮼𤸊𥿝𦄂𦙯𦪍𧊇𧑔𨊺𨓞𨗼𨟲𨥶𨽿𩃠𩃷𪐝𪒡𱳪
dan 但单担丹胆旦弹蛋淡诞氮郸耽殚惮儋眈疸澹掸啖箪聃萏瘅赕亶僤憺燀疍紞𫢸𬘘㐤㔊㕪㗖㠆㡺㯯㲷㴷䃫䄡䉞䊤䏙䐷䒟䗺䡲䦔䨢䨵䩥䪴䭛䳉丼伔倓儃冉刐勯匰単呾唌啗啿單嘽嘾噉噡嚪壇妉娊媅帎弾彈忱怛惔愖憚憾抌撢撣擔柦檐欿殫沊泹湛潭澶澸狚玬瓭甔癉癚皽石砃禫窞簞繵耼聸腅膻膽蓞蜑蜒蟺衴褝襌襜覘觛訑詹誕譂贉贍蹛躭鄲酖醈霮頕餤饏馾駳髧鴠黕黮黵鿕𠆛𠆶𠇋𠈰𠓊𠹆𡖓𡦨𡵕𢅒𢉑𢋃𢎪𢑝𢘇𢻼𣅟𣇇𣋊𣛱𣱍𣲥𤁡𤢏𤲭𤺺𥄦𥐹𥨎𥱷𥲄𥲇𥳸𥳹𥾚𦅼𦋪𦬹𦻁𦽜𦽫𦾩𧀻𧂄𧙇𧡪𧭃𧴸𨢿𩄕𩅦𩅾𩈉𩈊𩏥𩕤𩩧𪀩𪆻𪒾𫎫𫫦𱆥
dang 当党档荡挡宕砀铛裆凼菪谠垱珰璗筜𣗋𬍡㼕㽆䑗䣊䣣䦒偒儅噹圵場壋婸崵嵣愓擋攩檔欓氹潒澢灙燙瑒璫瓽當瘍盪瞊碭礑簜簹艡蕩蘯蟷襠譡讜趤逿鐺闣雼黨𡇈𡇵𡗍𡢈𡰨𡾕𢠽𢡂𣂳𣃉𣺼𣻍𤔶𤗾𤢎𤣞𥢷𥤗𥯕𥸈𦗴𦳝𦼲𦿆𧅗𧑘𨎴𨝦𨷾𩟈𩼉𩽳𪇁𫽮
dao 到道导岛倒刀盗稻蹈悼捣叨祷焘氘纛忉捯舠鱽㠀㧅㨶㿒䆃䊭䌦䧂佻儔刂受啁嘄噵壔導島嶋嶌嶹帱幬忑惆搗擣敦朷椡槝檤檮洮濤燾瓙盜禂禱稲箌絩翢翿艔菿薵虭衜衟裯軇醻釖陦陶隝隯魛鳥𠐵𠴼𡄒𢭏𣀓𣁍𣫜𣱼𤓾𤘀𤷘𤹷𥓬𥗚𥺅𦒺𦦺𦦾𦩍𧼤𨗓𨱦𩈞𩕯𩬱𩭟𩵕𱽕
de 的得德锝嘚㝵㤫㥀㥁㯖䙷䙸地底徳恴悳惪棏淂登脦鍀陟𠮊𠵨𡋩𡭂𣌏𣮊𣮰𤷙𧊇𨁽
dei 嘚得
den 扽㩐扥
deng 等登邓灯凳瞪蹬噔磴嶝镫戥璒㔁㲪䒭䔲䙞䠬䮴䳾僜墱嬁憕朩橙櫈澄燈竳簦艠覴豋鄧鐙隥𡦔𢯭𢿤𣩟𤮘𤺌𤼶𤾢𦩫𧄼𧾊𨄇𨎤𨮴𨶿𩍐𩞬𩯇𪌷𪑬𪒘𪔏
di 地第低底抵弟迪递帝敌堤蒂缔滴涤翟娣笛棣荻谛狄邸嘀砥坻诋嫡镝碲骶氐柢籴羝睇觌䃅䗖媂嵽杕玓禘菂諟踶蹢鞮頔髢𤧛𬱖㓳㢩㣙㦅㪆㫝㭽㰅㹍㼵䀿䂡䊮䍕䏄䏑䐎䐭䑭䑯䞾䟡䢑䣌䧑䨀䨤䩘䩚䪘䯼䱱䴞䵠䶍仾俤偙僀儥勺厎呧哋唙啇啲啻嚁坔坘埅埊埞墆墑墬奃嶳廸弔弤彽怟慸扚拞掋提揥摕敵旳杓枤梊梑楴樀櫂浟渧滌焍牴珶甋疐的眱碮磾祶篴糴約締聜肑胝腣芍苐苖茋莜菧蓧蔋蔐蔕藋藡蚳蝃螮袛覿觝詆諦豴赿趆踧蹄軧逐逓逮遞適遰釱鉪鍉鏑阺隄隶靮題馰鬄魡鯳鸐𠍪𠐑𠒿𠕳𠚭𠥖𠨿𠫜𠽰𡄷𡆣𡒱𡚙𡚷𡛜𡰖𡽢𢅊𢉆𢓧𢕚𣂉𣅥𣚌𣬴𣯵𣲢𤁰𤈥𤝬𤞈𤬵𤾠𥄿𥕐𥖾𥡦𥳠𥴦𥸚𥾬𥿄𦉹𦨢𦵦𧀶𧂨𧉛𧋍𧍝𧠫𧤲𧥮𧦚𧺽𧿠𨂇𨌮𨑩𨑼𨗼𨘬𨪾𨮹𩉱𩑾𩭲𩴺𩷎𪄱
dia 嗲
dian 电点店典奠甸碘淀殿垫颠滇癫巅惦掂癜玷佃踮靛钿簟坫阽扂琔磹㓠㚲㝪㞟㶘㸃㼭䀡䍄䓦䟍䩇佔傎厧唸嚸埝墊壂奌婝婰嵮巓巔拈攧敁敟椣槇槙橂橝沾涎澱猠痶瘨癲腍蒧蕇蜓蜔詀跕蹎鈿電頕顚顛驔點齻𠑘𠢣𠩷𠫉𠶧𡱇𡼓𢅝𢕯𢖩𢻅𣇖𣒂𣢥𣣈𣣣𣧛𣪀𣪪𤠶𤩱𤿶𥅑𥇞𥑼𥢏𥦟𥧑𥮏𥳢𥴫𥵏𦅆𦒻𦕒𦽄𧄺𧍿𧽍𨈀𩂵𩄠𩅀𩆔𩥄𩨋𩬑𪑩𪓼𪖚𭣇
diao 调掉雕吊钓刁貂凋碉鲷叼铫铞汈窎㒛㓮㚋㢯㣿㪕㹦䂏䂪䂽䄪䉆䔙䘟䯾䲽䳂伄佻倜刀刟啁奝嬥屌弔弴彫扚挑敦椆殦淍琱瘹瞗矵稠窵竨簓糶絩綢莜蓧藋虭蛁蜩訋誂調趙跳踔軺釣鈟銚銱鋽錭鑃雿魡鮉鯛鳥鳭鵃鵰鸟鼦𠄏𠚥𠚻𠛪𠤼𠥑𠶰𡰯𢁕𢄦𢆴𣩰𤕷𤭈𤱩𥁮𥮐𥲟𥾯𦄋𦨣𦩍𦰏𦶌𦸔𧅈𧘨𧘩𧜣𨰑𨸓𩀜𩈮𩋙𩾗𫼛
die 跌叠蝶迭碟爹谍牒耋喋嗲堞瓞鲽垤蹀䏲咥嵽昳楪绖𫶇㑙㗧㤴㥈㦅㦶㩸㩹㫼㬪㭯㲲㲳㷸㻡䞇䠟䩞䪓䫕䳀䴑佚哆哋啑峌崼幉怢恎惵戜挃挕揲曡柣槢殜氎泆涉渫牃畳疂疉疊眣眰窒絰耊胅至臷艓苵蜨螲褋褶褺詄諜趃跕跮踢蹛軼鐵镻鞢鰈鰨𠅗𠆙𠗛𠗨𠠯𠲷𡅥𡇓𡖐𡱷𡹭𡺑𡼄𢎆𢜨𢬴𢲼𢶣𣈍𣛻𣡟𣧈𣨂𣶏𤖒𤗨𤚊𤴍𥈖𥉺𥑇𥥌𥶺𥷕𦁛𦁜𦄔𦈅𧍱𨄌𨈈𨐁𨓊𨭓𨳺𨴗𨸅𨻗𨾤𩋞𩻵𪀒𪑧
din 𨈖
ding 定订顶丁鼎盯钉锭叮仃铤酊啶碇腚疔玎耵萣㝎㞟㣔㫀㴿䟓䦺䵺奠奵嵿帄忊掟椗汀濎灯町矴碠磸聢艼葶薡虰蝊訂釘鋌錠鐤靪頂顁飣饤鼑𢑅𣆍𣢳𤐣𤛙𥇓𥯢𥳰𥸧𦨍𦩘𧇷𧌾𧳉𨡱𩜦𩠆𩠑𩡯𩸎𩾚𪔂
diu 丢铥丟銩颩𠲍𢒝
dong 动东董冬洞懂冻栋侗咚峒氡恫胴硐垌鸫岽胨蝀𬟽㑈㓊㖦㗢㚵㢥㣚㣫㨂㼯䂢䆚䍶䞒䰤䳉䵔倲働凍動勭埬墥姛娻嬞崠崬徚戙挏揰昸東桐棟氭涷湩烔狪甬笗筒筩箽絧腖苳菄蕫衕詷諌迵酮霘駧騆鮗鯟鶇鶫鼕鿴𠄉𢔅𢛔𢳾𣿅𤤮𤦪𤲚𤷆𥫎𥳘𦡂𧄓𧆼𧓕𧡍𧯾𧲴𧳣𧼓𧼩𧽿𨩧𨿢𩂓𩐤𩐵𩜍𩣳𩧲𩭩𪐈𪔦
dou 都斗豆抖兜陡逗窦蚪痘蔸钭篼㓸㛒㞳㢄㤱㨮㪷䄈䇺䕆䛠䬦乧侸兠剅吋吺唗唞投斣枓梪橷毭氀浢瀆瞗窬竇脰荳讀读逾郖酘鈄鋀閗闘阧餖饾鬥鬦鬪鬬鬭𠁁𠍄𠱑𠾇𡂛𡂝𡆏𡙬𡟳𢦍𢭃𣁵𣂮𣘛𣭗𤀨𤅋𤝈𤞟𤾒𥆖𥉝𥥷𥺉𦄓𦆘𧏆𧘞𧡸𧮡𧯞𧯠𧯤𧱓𨁋𨥪𨪐𨴜𨶜𨹜𩊪𩑯𩔡𩮷𩳈𪌉𪐺
du 度独督读毒渡杜堵赌睹肚镀渎笃嘟犊妒牍蠹椟碡黩芏髑厾阇𨧀𬭊㒔㓃㞘㡯㧻㱩㸿㾄䀾䈞䐁䐗䓯䙱䟻䢱䦠䩲䪅䫳䮷䰩䲧儥凟剢剫匵噣土塗妬嬻宅帾斁晵暏樚橐櫝殬殰涜瀆牘犢獨琽瓄皾睪秺竇竺篤纛罜荰蝳螙蠧裻襡覩詫読讀讟豄賭贕都醏錖鍍鍺鑟闍陼靯韇韣韥頓顿騳黷𠉩𠠔𠠠𠣰𡍨𡎉𡝜𡰪𢉜𢝂𢷺𢽚𢾀𢾅𣧃𣨲𣫔𣰬𤚚𤚡𤫻𤬂𤬪𤴱𤵊𤶮𥀁𥀲𥃾𥑯𥓇𥓍𥖠𥖿𥝟𥝾𥯖𥲗𥳉𥳲𦌷𦏕𦘴𦙋𦚈𦛯𦡄𦳔𦺇𦺥𧁿𧉓𧋌𧐰𧑠𧔬𧛔𧞹𧰵𧷿𧾥𨂭𨋈𨍛𨏔𨽍𩞾𩥋𩧈𩨳𩩮𩵚𪇆𪍹𪐞𮙋
duan 断段短端锻缎煅椴簖塅瑖耑㟨㫁㱭䠪偳剬媏斷毈碫篅籪緞腶葮褍踹躖鍛鍴𠡱𢭃𢯫𢷖𣠭𥠄𥵣𦾸𧤗𧶲𨱚𨺣𩏇𩤚𩤣𱛽
dui 对队兑堆碓镦怼祋㙂㟋㠚㢂㢈㨃㬣㳔䂙䇏䏨䔻䜃䨴䨺䬈䬽䭔䯟兊兌啍垖埻塠奪対對嵟憝憞懟搥敦杸槌濧瀢瀩痽磓綐膭薱襨謉譈譵追鈗鋭錞鎚鐓鐜陮隊頧鴭𠂤𠏮𠜑𠡒𠦗𠫨𡁨𡏩𡑈𡜥𡷋𡼻𢆻𢈹𢟋𣝉𣪌𤄛𤤷𤧫𤮩𤷎𤹵𥑵𥹲𦞱𦡷𦶏𧧆𨬍𨹅𨻵𩄮𩅆𩅥𩅲𩈁𩈜𩊭𩐌𩜀𩨽𪌤𪒛𪒡𫗰𬭚
dun 吨顿盾敦蹲墩囤沌钝炖盹遁趸砘礅惇楯蹾䃦䔻䤜䪃伅俊噸坉墪庉忳憞撉撴橔潡燉犜獤碷腞腯蜳豚踲躉逇遯鈍鐓鐜镦頓驐𠎻𡆰𡼖𢬼𣎴𣗁𣚪𣞇𤟢𤭞𥂦𥫬𥫱𥭒𦎧𦪔𦰭𦼿𧝗𧿗𨔡𩔂𩞤𮪥
duo 多夺朵躲铎咄堕舵垛惰哆踱跺掇剁柁裰哚㙍亸剟埵饳㖼㙐㛆㛊㡯㣞㤞㥩㨊㪜㻔㻧䅜䐾䑨䒳䙃䙤䝐䠤䤪䤻䩔䫂䯬䲊仛兑凙刴剫喥嚉嚲垜墮墯夛奪奲媠尮崜嶞度憜挅挆捶揣敓敚敠敪朶杂杕杝柂柮桗棰椯橢毲沰沱澤畓痥硾綞缍茤袳襗詑誃貀趓跢跥跿躱軃鄲酡鈬錞鍺鐸陀陊陏隋隓飿馱驮鬌鮵鵽點𠛫𡌭𡓉𡓷𡶲𡺇𢜬𢳽𢼠𢿎𣑧𣧷𣵺𣵻𤋨𤌃𤛛𤢕𤤸𤬾𥞛𥬲𥳔𥿰𦍦𦕰𦖋𧊱𧙤𧢵𧧇𧩧𧱫𨀟𨆅𨉡𨍏𨦃𨬍𨲉𨹃𩃒𩊜𩍜𩎫𩑒𩢎𩬻𩿩𪃒𪘉𪞝𫰂
e 额俄恶鹅遏鄂厄饿峨扼娥鳄蛾噩愕讹锷垩婀鹗萼谔莪腭锇颚呃阏屙苊轭噁堨姶崿涐𥔲𫫇㓵㔩㖾㗁㗉㛕㟧㠋㣂㦍㧖㧴㩵㩽㫊㮙㷈㼂䄉䆓䋪䑥䑪䔾䕏䖸䙳䚰䛖䛩䜙䝈䞩䣞䩹䫷䱮䳗䳘䳬亞佮侉偔偽僫匎匼卾叱吪呝咢咹哦啈啊啐啞囐囮埡堊堮妸妿娾娿媕屵岋峉峩庵廅悪惡戹搕搤搹擜曷枙椏櫮歞歹歺洝湂猗玀珴琧疴痷痾皒睋砈砐砨砵硆硪磀礘胺蒍蕚蘁蚅蛤蝁覨訛詻誐諤譌讍豟軛軶輵迗遌遻邑鈋鈪鋨鍔鑩閜閼阨阸阿隘頋頞頟額顎餓餩騀鬲魤魥鰐鰪鱷鴳鵈鵝鵞鶚齃齶齾𠥍𠥕𠥜𠯪𠰜𠱥𠱫𠷸𡀾𡅅𡅡𡪑𡪗𡴯𡹣𡾙𢃲𢨡𢼚𢼛𣄰𣎴𣘨𣢛𣤲𣦵𤂷𤎣𤡾𤪄𤭼𤸱𤻜𥋙𥑺𥑾𥓈𥯳𦊪𦛅𧊜𧊧𧌄𧍬𧒎𧔼𧙃𧚄𧠞𧢽𧨟𧭪𧼎𧽶𧿕𨂁𨃃𨌧𨤕𨱂𨵌𨶯𨸷𨺨𩇠𩉴𩊢𩋊𩋽𩐰𩑁𩒕𩒰𩕟𩕬𩖀𩚬𩣣𩤩𩨮𩪤𩸇𩸋𩸖𩽹𪀝𪅴𪘊𪘐𪙯𱂨𱩽
ei 欸誒诶𡅅
en 恩摁蒽嗯䅰䬶䭓䭡奀峎煾饐𡟯𡵖𡷐𤇯𤫹𱴨
eng 鞥
er 而二尔儿耳迩饵洱贰铒珥佴鸸鲕咡耏陑㒃㖇㚷㛅㢽㧫䋙䋩䌺䎟䎠䎶䏪䣵䮘侕児兒刵厼唲嬭尒尓峏弍弐杒栭栮樲毦洏濡爾粫聏胹腝臑荋薾衈袻誀貮貳趰輀輭轜邇鉺陾隭餌駬髵髶鮞鴯𠚧𡦕𢀪𢄽𣧹𣩚𤽓𥅡𦓓𦓔𦖢𦗼𧌣𨎪𩚪𩤖𩰴𩱊𩱓𪐰𪕔𪕨𮝵
fa 发法罚乏伐阀筏砝垡珐㕹㘺㛲䂲䇅䣹佱傠姂彂拔撥栰橃汎沷泛浌灋琺疺発發瞂笩罰罸茷蕟藅貶酦醱鍅閥髪髮𠞵𠲎𤇰𤣹𤿓𥎰𥩱𦪑𧬋𨀳𨋺
fan 反范犯繁饭泛翻凡返番贩烦帆樊藩矾梵蕃钒幡畈蘩蹯燔墦氾璠鷭𫔍𬸪㕨㛯㠶㤆㮥㴀㶗㸋㺕㼝㽹䀀䀟䉊䉒䊩䋣䋦䌓䐪䒦䕰䛀䟪䡊䣲䪛䪤䪻䫶䭵䮳仮伋凢凣勫匥噃奿婏嬎嬏忛憣払拚旙旛杋柉棥楓橎汎渢滼潘瀪瀿煩犿畨盕礬笲笵範籓籵緐繙羳膰舤舧舩薠蟠蠜袢襎訉販軓軬轓釩鐇鐢颿飜飯飰鱕𠆩𠒾𡁈𡗹𡜀𡤎𡶉𢇪𢐲𢗰𢬵𢶃𣔶𣳜𤄑𤄫𤬨𤭍𤳖𥃵𥅒𥢌𥸨𥹇𥻫𥼞𥿋𦊻𦜒𦦽𦨲𦪖𧀭𧁉𧉤𧊾𧍙𧢜𧦟𧶶𨆌𨙮𨟄𨠒𨥧𩕏𩡫𩧅𩨏𩨩𪖇𬙆𬳳
fang 方放房防访纺芳仿坊妨肪邡舫枋鲂钫昉牥蚄㑂㕫㤃㧍㯐䄱䢍䰃䲱倣匚埅堏彷旊昘昞汸淓瓬眆眪祊紡訪趽鈁錺雱髣魴鰟鴋鶭𣄅𥫳𨾔𩇴𩗧𩬝𩮗𩲌𩷸𪕃𲍮
fei 费非飞肥废菲肺啡沸匪斐蜚妃诽扉翡霏吠绯腓痱芾淝悱狒榧鲱篚镄剕朏棐騑𬴂㔗㥱㩌㫵㵒㹃䆏䈈䉬䍨䑔䒈䕁䕠䚨䛍䟛䠊䤵䨽䨾䩁䯋䰁俷厞墢奜婓婔屝廃廢怫拂昲暃曊杮柹橃橨櫠渄濷犻猆疿癈砩祓笰紼緋胇胏胐茀茇萉蕜蕟蕡蜰蟦裴裶襏誹費賁鐨陫靅靟飛飝餥馡騛髴鯡鼣鼥𠏿𠮆𠲎𡌦𢑮𢒍𢳁𢾺𣍧𣙿𤝟𤷂𤺕𤼺𥄱𥇖𥝊𥝋𥟍𥠶𥭬𦃄𦈗𦱷𧌘𧍃𧑈𧓖𧕒𧕿𧚆𧝇𧿳𨚓𨵈𨻃𩄼𩆦𩇫𩇮𩇯𩇽𩙲𩡷𩦎𩯃𩰲𩰾𩱎𩵥𩹉𪁹𪂏𫂈
fen 分份纷奋粉氛芬愤粪坟汾焚酚吩忿棼鼢瀵偾鲼棻翂豮𣸣㖹㤋㥹㬟㱵㷊㸮㿎䆏䩿䫞䭻䴅僨兝兺匪哛噴坆坋墳奔奮妢岎帉幩弅愍憤扮拚敃昐朆朌枌梤橨濆炃燌燓燔獖玢盼瞓砏秎竕糞紛羒羵肦膹葐蒶蕡蚠蚡衯訜豶賁躮轒鈖錀鐼隫雰頒餴饙馚馩魵鱝鳻黂黺鼖𠛸𠵮𠻫𡊄𡊅𡨖𢁤𢅯𢊱𢚅𢧝𢴢𢹔𣬩𣯻𣱦𤔟𤖘𤗸𤘝𤰪𥂙𥳡𥹻𥽒𦍏𦍪𦐈𦦑𦰛𦶚𧮱𧷐𧿚𨎾𨤘𨤚𨳚𨳣𨷒𩉵𩡷𩢈𩰟𩸂𩿈𰥛𱘮
feng 风丰封峰奉凤锋冯逢缝蜂枫疯讽烽俸沣酆砜葑唪崶沨浲赗㐽㒥㕫㛔㜂㠦㡝㦀㵯䀱䏎䒠䙜䟪䩬䩼仹偑僼凨凬凮埄堸夆妦寷峯捀捧摓方桻楓檒泛渢湗溄漨灃炐焨煈熢犎猦琒甮瘋盽碸篈綘縫肨舽艂莑蘴蚌蠭覂諷豊豐賵逄鄷鋒鎽鏠闏霻靊風飌馮鳯鳳鴌鵬麷𠣡𡉚𡕖𡨛𡵞𢇫𢓱𢪋𣿝𤖀𥊒𥍮𥛝𥷜𥽈𦜁𦧁𧆉𧍯𧥹𧾳𨝭𨩥𨲫𨺢𩉧𩊩𩋮𩐯𩘵𩙐𩙣𩪌𪐃
fiao 覅
fo 佛仏仸坲梻𧥚𧼴
fou 否缶䬏不垺妚殕炰紑缹缻芣衃裦雬鴀𡜊𤊻𤽦𧉈𧊦𨛔𩂆
